date,market,treatment_arm,wave,treatment_start_day,day_index,post,days_since_treatment,base_price_eur,price_uplift_pct,price_eur,currency,fx_rate,price_local,bookings,revenue_eur,sessions,cr_checkout_to_sale,marketing_spend_eur,ltv_eur,churn_rate,gdp_per_capita,week_of_year,day_of_week,is_weekend
2024-01-13,AT,control,0,0,13,0,0,89.0,0.0,89.0,EUR,0.9955,88.6,141,12549.0,4849,0.0291,50.68,375.88,0.0683,50000,2,5,1
2024-01-14,AT,control,0,0,14,0,0,89.0,0.0,89.0,EUR,0.9909,88.19,132,11748.0,4513,0.0292,43.34,376.72,0.0567,50000,2,6,1
2024-01-15,AT,control,0,0,15,0,0,89.0,0.0,89.0,EUR,0.9952,88.58,116,10324.0,3940,0.0294,45.35,367.49,0.0568,50000,3,0,0
2024-01-16,AT,control,0,0,16,0,0,89.0,0.0,89.0,EUR,1.003,89.26,117,10413.0,3456,0.0339,52.76,357.33,0.054,50000,3,1,0
2024-01-17,AT,control,0,0,17,0,0,89.0,0.0,89.0,EUR,0.996,88.64,123,10947.0,3810,0.0323,49.54,374.3,0.0682,50000,3,2,0
2024-01-18,AT,control,0,0,18,0,0,89.0,0.0,89.0,EUR,0.9921,88.29,127,11303.0,3666,0.0346,41.69,360.38,0.0687,50000,3,3,0
2024-01-19,AT,control,0,0,19,0,0,89.0,0.0,89.0,EUR,0.9926,88.34,130,11570.0,3587,0.0362,44.43,367.87,0.0704,50000,3,4,0
2024-01-20,AT,control,0,0,20,0,0,89.0,0.0,89.0,EUR,1.0105,89.93,131,11659.0,4408,0.0297,47.63,374.26,0.0812,50000,3,5,1
2024-01-21,AT,control,0,0,21,0,0,89.0,0.0,89.0,EUR,0.9995,88.95,128,11392.0,4019,0.0318,52.12,360.04,0.0522,50000,3,6,1
2024-01-22,AT,control,0,0,22,0,0,89.0,0.0,89.0,EUR,0.9964,88.68,115,10235.0,3555,0.0323,46.67,379.94,0.0538,50000,4,0,0
2024-01-23,AT,control,0,0,23,0,0,89.0,0.0,89.0,EUR,0.9994,88.95,114,10146.0,4265,0.0267,47.06,370.22,0.0707,50000,4,1,0
2024-01-24,AT,control,0,0,24,0,0,89.0,0.0,89.0,EUR,0.9862,87.77,113,10057.0,3826,0.0295,43.2,375.22,0.0718,50000,4,2,0
2024-01-25,AT,control,0,0,25,0,0,89.0,0.0,89.0,EUR,0.9998,88.99,116,10324.0,3520,0.033,49.69,356.08,0.0664,50000,4,3,0
2024-01-26,AT,control,0,0,26,0,0,89.0,0.0,89.0,EUR,0.9926,88.34,125,11125.0,3765,0.0332,54.14,360.74,0.0726,50000,4,4,0
2024-01-27,AT,control,0,0,27,0,0,89.0,0.0,89.0,EUR,0.9917,88.26,146,12994.0,4471,0.0327,50.63,354.11,0.0822,50000,4,5,1
2024-01-28,AT,control,0,0,28,0,0,89.0,0.0,89.0,EUR,1.0087,89.78,137,12193.0,4591,0.0298,45.83,371.67,0.0678,50000,4,6,1
2024-01-29,AT,control,0,0,29,0,0,89.0,0.0,89.0,EUR,0.9894,88.05,112,9968.0,3285,0.0341,53.56,372.47,0.0673,50000,5,0,0
2024-01-30,AT,control,0,0,30,0,0,89.0,0.0,89.0,EUR,1.002,89.18,112,9968.0,3439,0.0326,47.2,380.73,0.0644,50000,5,1,0
2024-01-31,AT,control,0,0,31,0,0,89.0,0.0,89.0,EUR,1.011,89.98,116,10324.0,3334,0.0348,52.61,359.53,0.0639,50000,5,2,0
2024-02-01,AT,control,0,0,32,0,0,89.0,0.0,89.0,EUR,0.9917,88.26,141,12549.0,4420,0.0319,43.81,378.43,0.0574,50000,5,3,0
2024-02-02,AT,control,0,0,33,0,0,89.0,0.0,89.0,EUR,0.9978,88.81,136,12104.0,4451,0.0306,48.8,373.79,0.0661,50000,5,4,0
2024-02-03,AT,control,0,0,34,0,0,89.0,0.0,89.0,EUR,0.9902,88.13,143,12727.0,4361,0.0328,45.95,375.49,0.0556,50000,5,5,1
2024-02-04,AT,control,0,0,35,0,0,89.0,0.0,89.0,EUR,0.9884,87.97,112,9968.0,4283,0.0261,47.34,373.61,0.0601,50000,5,6,1
2024-02-05,AT,control,0,0,36,0,0,89.0,0.0,89.0,EUR,1.0011,89.1,100,8900.0,2791,0.0358,35.84,374.3,0.0686,50000,6,0,0
2024-02-06,AT,control,0,0,37,0,0,89.0,0.0,89.0,EUR,1.0076,89.68,121,10769.0,3225,0.0375,49.87,365.94,0.0657,50000,6,1,0
2024-02-07,AT,control,0,0,38,0,0,89.0,0.0,89.0,EUR,1.0045,89.4,124,11036.0,4116,0.0301,46.06,365.83,0.0645,50000,6,2,0
2024-02-08,AT,control,0,0,39,0,0,89.0,0.0,89.0,EUR,0.9906,88.16,130,11570.0,4288,0.0303,49.8,382.43,0.0605,50000,6,3,0
2024-02-09,AT,control,0,0,40,0,0,89.0,0.0,89.0,EUR,1.004,89.36,128,11392.0,4479,0.0286,51.94,389.63,0.0642,50000,6,4,0
2024-02-10,AT,control,0,0,41,0,0,89.0,0.0,89.0,EUR,1.0129,90.15,133,11837.0,4347,0.0306,57.83,377.14,0.0709,50000,6,5,1
2024-02-11,AT,control,0,0,42,0,0,89.0,0.0,89.0,EUR,1.0106,89.94,138,12282.0,4474,0.0308,54.69,368.35,0.0712,50000,6,6,1
2024-02-12,AT,control,0,0,43,0,0,89.0,0.0,89.0,EUR,1.0055,89.49,119,10591.0,3961,0.03,48.68,374.81,0.0749,50000,7,0,0
2024-02-13,AT,control,0,0,44,0,0,89.0,0.0,89.0,EUR,1.0026,89.24,117,10413.0,4343,0.0269,50.98,363.47,0.0706,50000,7,1,0
2024-02-14,AT,control,0,0,45,0,0,89.0,0.0,89.0,EUR,1.0031,89.27,117,10413.0,3687,0.0317,56.04,358.27,0.0702,50000,7,2,0
2024-02-15,AT,control,0,0,46,0,0,89.0,0.0,89.0,EUR,1.0077,89.69,127,11303.0,3426,0.0371,43.72,372.35,0.0648,50000,7,3,0
2024-02-16,AT,control,0,0,47,0,0,89.0,0.0,89.0,EUR,0.9977,88.8,116,10324.0,4377,0.0265,45.32,378.47,0.0678,50000,7,4,0
2024-02-17,AT,control,0,0,48,0,0,89.0,0.0,89.0,EUR,1.0068,89.6,150,13350.0,4561,0.0329,44.49,376.95,0.0691,50000,7,5,1
2024-02-18,AT,control,0,0,49,0,0,89.0,0.0,89.0,EUR,1.0043,89.38,136,12104.0,4746,0.0286,38.63,350.42,0.0551,50000,7,6,1
2024-02-19,AT,control,0,0,50,0,0,89.0,0.0,89.0,EUR,0.998,88.82,134,11926.0,3937,0.034,57.29,375.12,0.064,50000,8,0,0
2024-02-20,AT,control,0,0,51,0,0,89.0,0.0,89.0,EUR,0.9989,88.9,135,12015.0,3444,0.0392,41.79,374.14,0.0688,50000,8,1,0
2024-02-21,AT,control,0,0,52,0,0,89.0,0.0,89.0,EUR,1.0023,89.2,126,11214.0,4039,0.0312,47.05,379.46,0.075,50000,8,2,0
2024-02-22,AT,control,0,0,53,0,0,89.0,0.0,89.0,EUR,0.999,88.91,123,10947.0,3647,0.0337,45.84,368.66,0.0637,50000,8,3,0
2024-02-23,AT,control,0,0,54,0,0,89.0,0.0,89.0,EUR,1.0111,89.99,132,11748.0,3745,0.0352,49.36,369.09,0.0705,50000,8,4,0
2024-02-24,AT,control,0,0,55,0,0,89.0,0.0,89.0,EUR,0.9938,88.45,139,12371.0,4662,0.0298,52.26,363.3,0.0709,50000,8,5,1
2024-02-25,AT,control,0,0,56,0,0,89.0,0.0,89.0,EUR,0.9935,88.43,148,13172.0,4487,0.033,42.73,377.83,0.063,50000,8,6,1
2024-02-26,AT,control,0,0,57,0,0,89.0,0.0,89.0,EUR,0.9967,88.71,138,12282.0,3534,0.039,55.49,362.75,0.0634,50000,9,0,0
2024-02-27,AT,control,0,0,58,0,0,89.0,0.0,89.0,EUR,1.0018,89.16,123,10947.0,4020,0.0306,49.63,376.81,0.0692,50000,9,1,0
2024-02-28,AT,control,0,0,59,0,0,89.0,0.0,89.0,EUR,1.0039,89.35,113,10057.0,3846,0.0294,46.56,372.19,0.0549,50000,9,2,0
2024-02-29,AT,control,0,0,60,0,0,89.0,0.0,89.0,EUR,1.0084,89.74,122,10858.0,3334,0.0366,48.52,360.54,0.0628,50000,9,3,0
2024-03-01,AT,control,0,0,61,0,0,89.0,0.0,89.0,EUR,0.9928,88.36,125,11125.0,3757,0.0333,45.72,367.87,0.0494,50000,9,4,0
2024-03-02,AT,control,0,0,62,0,0,89.0,0.0,89.0,EUR,1.0006,89.06,146,12994.0,4711,0.031,47.31,370.47,0.073,50000,9,5,1
2024-03-03,AT,control,0,0,63,0,0,89.0,0.0,89.0,EUR,0.9925,88.33,132,11748.0,4184,0.0315,47.37,369.12,0.0592,50000,9,6,1
2024-03-04,AT,control,0,0,64,0,0,89.0,0.0,89.0,EUR,1.0066,89.59,130,11570.0,5105,0.0255,46.76,360.33,0.058,50000,10,0,0
2024-03-05,AT,control,0,0,65,0,0,89.0,0.0,89.0,EUR,1.0022,89.2,129,11481.0,3727,0.0346,45.26,381.35,0.0571,50000,10,1,0
2024-03-06,AT,control,0,0,66,0,0,89.0,0.0,89.0,EUR,0.9947,88.53,110,9790.0,3002,0.0366,53.93,367.01,0.059,50000,10,2,0
2024-03-07,AT,control,0,0,67,0,0,89.0,0.0,89.0,EUR,0.9903,88.13,114,10146.0,3348,0.034,48.34,378.28,0.0587,50000,10,3,0
2024-03-08,AT,control,0,0,68,0,0,89.0,0.0,89.0,EUR,0.9985,88.86,124,11036.0,4054,0.0306,43.24,364.66,0.0703,50000,10,4,0
2024-03-09,AT,control,0,0,69,0,0,89.0,0.0,89.0,EUR,1.0038,89.33,146,12994.0,4110,0.0355,52.24,370.8,0.0679,50000,10,5,1
2024-03-10,AT,control,0,0,70,0,0,89.0,0.0,89.0,EUR,0.9838,87.55,153,13617.0,4349,0.0352,56.43,375.61,0.0626,50000,10,6,1
2024-03-11,AT,control,0,0,71,0,0,89.0,0.0,89.0,EUR,1.0082,89.73,138,12282.0,4014,0.0344,47.82,367.27,0.0731,50000,11,0,0
2024-03-12,AT,control,0,0,72,0,0,89.0,0.0,89.0,EUR,1.0026,89.23,132,11748.0,4295,0.0307,50.96,379.84,0.0824,50000,11,1,0
2024-03-13,AT,control,0,0,73,0,0,89.0,0.0,89.0,EUR,0.9986,88.87,128,11392.0,3592,0.0356,44.58,374.31,0.0555,50000,11,2,0
2024-03-14,AT,control,0,0,74,0,0,89.0,0.0,89.0,EUR,0.9906,88.16,133,11837.0,4863,0.0273,56.21,371.29,0.0634,50000,11,3,0
2024-03-15,AT,control,0,0,75,0,0,89.0,0.0,89.0,EUR,0.9933,88.4,135,12015.0,4479,0.0301,48.42,367.1,0.0639,50000,11,4,0
2024-03-16,AT,control,0,0,76,0,0,89.0,0.0,89.0,EUR,0.997,88.73,148,13172.0,3931,0.0376,45.99,379.71,0.0599,50000,11,5,1
2024-03-17,AT,control,0,0,77,0,0,89.0,0.0,89.0,EUR,1.0096,89.86,131,11659.0,4485,0.0292,53.81,371.57,0.0601,50000,11,6,1
2024-03-18,AT,control,0,0,78,0,0,89.0,0.0,89.0,EUR,1.0086,89.77,108,9612.0,3550,0.0304,41.81,367.56,0.0673,50000,12,0,0
2024-03-19,AT,control,0,0,79,0,0,89.0,0.0,89.0,EUR,1.0032,89.29,111,9879.0,4155,0.0267,50.03,354.48,0.068,50000,12,1,0
2024-03-20,AT,control,0,0,80,0,0,89.0,0.0,89.0,EUR,0.993,88.38,127,11303.0,4205,0.0302,53.68,364.74,0.0687,50000,12,2,0
2024-03-21,AT,control,0,0,81,0,0,89.0,0.0,89.0,EUR,0.9896,88.07,134,11926.0,4091,0.0328,56.09,364.2,0.0635,50000,12,3,0
2024-03-22,AT,control,0,0,82,0,0,89.0,0.0,89.0,EUR,0.9931,88.38,123,10947.0,4233,0.0291,44.32,363.1,0.0563,50000,12,4,0
2024-03-23,AT,control,0,0,83,0,0,89.0,0.0,89.0,EUR,0.9899,88.1,127,11303.0,3546,0.0358,50.35,363.63,0.0649,50000,12,5,1
2024-03-24,AT,control,0,0,84,0,0,89.0,0.0,89.0,EUR,1.0037,89.33,120,10680.0,3894,0.0308,49.4,366.5,0.0719,50000,12,6,1
2024-03-25,AT,control,0,0,85,0,0,89.0,0.0,89.0,EUR,1.0122,90.08,100,8900.0,2764,0.0362,30.53,387.74,0.058,50000,13,0,0
2024-03-26,AT,control,0,0,86,0,0,89.0,0.0,89.0,EUR,0.9926,88.34,111,9879.0,3407,0.0326,54.77,380.9,0.0518,50000,13,1,0
2024-03-27,AT,control,0,0,87,0,0,89.0,0.0,89.0,EUR,1.0007,89.06,124,11036.0,4047,0.0306,36.91,358.39,0.0713,50000,13,2,0
2024-03-28,AT,control,0,0,88,0,0,89.0,0.0,89.0,EUR,1.0035,89.31,130,11570.0,4088,0.0318,54.66,371.11,0.0663,50000,13,3,0
2024-03-29,AT,control,0,0,89,0,0,89.0,0.0,89.0,EUR,0.9961,88.65,131,11659.0,4503,0.0291,44.54,360.09,0.0615,50000,13,4,0
2024-03-30,AT,control,0,0,90,0,0,89.0,0.0,89.0,EUR,1.0003,89.03,146,12994.0,3815,0.0383,51.97,367.84,0.0566,50000,13,5,1
2024-03-31,AT,control,0,0,91,0,0,89.0,0.0,89.0,EUR,0.9978,88.8,149,13261.0,4487,0.0332,46.07,359.99,0.0728,50000,13,6,1
2024-04-01,AT,control,0,0,92,0,0,89.0,0.0,89.0,EUR,1.0073,89.65,129,11481.0,4148,0.0311,48.96,381.01,0.0604,50000,14,0,0
2024-04-02,AT,control,0,0,93,0,0,89.0,0.0,89.0,EUR,0.9978,88.81,128,11392.0,4182,0.0306,49.79,375.7,0.0669,50000,14,1,0
2024-04-03,AT,control,0,0,94,0,0,89.0,0.0,89.0,EUR,0.9995,88.95,137,12193.0,4390,0.0312,45.51,375.09,0.0739,50000,14,2,0
2024-04-04,AT,control,0,0,95,0,0,89.0,0.0,89.0,EUR,1.0017,89.15,132,11748.0,4197,0.0314,50.15,367.33,0.079,50000,14,3,0
2024-04-05,AT,control,0,0,96,0,0,89.0,0.0,89.0,EUR,0.9974,88.77,131,11659.0,3692,0.0355,46.02,359.36,0.0808,50000,14,4,0
2024-04-06,AT,control,0,0,97,0,0,89.0,0.0,89.0,EUR,1.0155,90.38,154,13706.0,6020,0.0256,41.57,384.32,0.0613,50000,14,5,1
2024-04-07,AT,control,0,0,98,0,0,89.0,0.0,89.0,EUR,1.0089,89.79,148,13172.0,4152,0.0356,50.14,368.19,0.0607,50000,14,6,1
2024-04-08,AT,control,0,0,99,0,0,89.0,0.0,89.0,EUR,0.9895,88.07,137,12193.0,5229,0.0262,56.39,376.94,0.0699,50000,15,0,0
2024-04-09,AT,control,0,0,100,0,0,89.0,0.0,89.0,EUR,1.0036,89.32,132,11748.0,4032,0.0327,45.31,369.84,0.0662,50000,15,1,0
2024-04-10,AT,control,0,0,101,0,0,89.0,0.0,89.0,EUR,1.0043,89.38,125,11125.0,4163,0.03,42.26,367.0,0.0583,50000,15,2,0
2024-04-11,AT,control,0,0,102,0,0,89.0,0.0,89.0,EUR,1.0048,89.43,136,12104.0,3918,0.0347,41.98,375.44,0.0598,50000,15,3,0
2024-04-12,AT,control,0,0,103,0,0,89.0,0.0,89.0,EUR,1.001,89.09,134,11926.0,3915,0.0342,42.5,364.9,0.0682,50000,15,4,0
2024-04-13,AT,control,0,0,104,0,0,89.0,0.0,89.0,EUR,0.9965,88.69,149,13261.0,4891,0.0305,53.19,363.0,0.0587,50000,15,5,1
2024-04-14,AT,control,0,0,105,0,0,89.0,0.0,89.0,EUR,0.9977,88.8,153,13617.0,6166,0.0248,48.56,369.17,0.0538,50000,15,6,1
2024-04-15,AT,control,0,0,106,0,0,89.0,0.0,89.0,EUR,1.0083,89.74,139,12371.0,4030,0.0345,44.39,354.63,0.0611,50000,16,0,0
2024-04-16,AT,control,0,0,107,0,0,89.0,0.0,89.0,EUR,0.9974,88.77,125,11125.0,3463,0.0361,47.32,374.66,0.0612,50000,16,1,0
2024-04-17,AT,control,0,0,108,0,0,89.0,0.0,89.0,EUR,0.9987,88.88,132,11748.0,4273,0.0309,53.07,376.31,0.0664,50000,16,2,0
2024-04-18,AT,control,0,0,109,0,0,89.0,0.0,89.0,EUR,1.0012,89.1,130,11570.0,3585,0.0363,53.67,368.15,0.0672,50000,16,3,0
2024-04-19,AT,control,0,0,110,0,0,89.0,0.0,89.0,EUR,1.0001,89.01,138,12282.0,4940,0.0279,50.38,379.85,0.0639,50000,16,4,0
2024-04-20,AT,control,0,0,111,0,0,89.0,0.0,89.0,EUR,1.0063,89.56,150,13350.0,4141,0.0362,47.37,365.41,0.0597,50000,16,5,1
2024-04-21,AT,control,0,0,112,0,0,89.0,0.0,89.0,EUR,1.0034,89.3,143,12727.0,4069,0.0351,47.6,369.45,0.0615,50000,16,6,1
2024-04-22,AT,control,0,0,113,0,0,89.0,0.0,89.0,EUR,1.0123,90.1,125,11125.0,4140,0.0302,50.97,369.84,0.0783,50000,17,0,0
2024-04-23,AT,control,0,0,114,0,0,89.0,0.0,89.0,EUR,1.0012,89.1,118,10502.0,3993,0.0295,51.61,376.14,0.0606,50000,17,1,0
2024-04-24,AT,control,0,0,115,0,0,89.0,0.0,89.0,EUR,1.0063,89.56,128,11392.0,3692,0.0347,44.91,376.52,0.0701,50000,17,2,0
2024-04-25,AT,control,0,0,116,0,0,89.0,0.0,89.0,EUR,0.9849,87.65,135,12015.0,4538,0.0297,44.3,374.41,0.0742,50000,17,3,0
2024-04-26,AT,control,0,0,117,0,0,89.0,0.0,89.0,EUR,0.9968,88.72,133,11837.0,4502,0.0295,45.73,376.69,0.0754,50000,17,4,0
2024-04-27,AT,control,0,0,118,0,0,89.0,0.0,89.0,EUR,1.0046,89.41,129,11481.0,4679,0.0276,53.66,380.04,0.0622,50000,17,5,1
2024-04-28,AT,control,0,0,119,0,0,89.0,0.0,89.0,EUR,0.9971,88.74,129,11481.0,3886,0.0332,48.06,361.28,0.0636,50000,17,6,1
2024-04-29,AT,control,0,0,120,0,0,89.0,0.0,89.0,EUR,1.0127,90.13,122,10858.0,3677,0.0332,46.82,365.98,0.0674,50000,18,0,0
2024-04-30,AT,control,0,0,121,0,0,89.0,0.0,89.0,EUR,1.0082,89.73,117,10413.0,3769,0.031,45.54,369.92,0.0628,50000,18,1,0
2024-05-01,AT,control,0,0,122,0,0,89.0,0.0,89.0,EUR,0.991,88.2,128,11392.0,4038,0.0317,50.9,373.84,0.0626,50000,18,2,0
2024-05-02,AT,control,0,0,123,0,0,89.0,0.0,89.0,EUR,0.9972,88.75,118,10502.0,3653,0.0323,43.12,377.43,0.0596,50000,18,3,0
2024-05-03,AT,control,0,0,124,0,0,89.0,0.0,89.0,EUR,1.0103,89.92,123,10947.0,3776,0.0326,41.79,364.23,0.0679,50000,18,4,0
2024-05-04,AT,control,0,0,125,0,0,89.0,0.0,89.0,EUR,1.0069,89.61,134,11926.0,4791,0.028,47.43,367.25,0.0619,50000,18,5,1
2024-05-05,AT,control,0,0,126,0,0,89.0,0.0,89.0,EUR,0.9883,87.96,137,12193.0,4656,0.0294,44.49,372.25,0.0713,50000,18,6,1
2024-05-06,AT,control,0,0,127,0,0,89.0,0.0,89.0,EUR,1.0007,89.06,126,11214.0,3533,0.0357,54.25,373.35,0.0661,50000,19,0,0
2024-05-07,AT,control,0,0,128,0,0,89.0,0.0,89.0,EUR,1.0014,89.13,116,10324.0,2961,0.0392,38.42,377.59,0.0567,50000,19,1,0
2024-05-08,AT,control,0,0,129,0,0,89.0,0.0,89.0,EUR,1.0079,89.71,118,10502.0,4380,0.0269,52.03,377.72,0.0707,50000,19,2,0
2024-05-09,AT,control,0,0,130,0,0,89.0,0.0,89.0,EUR,0.9943,88.49,137,12193.0,3914,0.035,42.27,376.52,0.0545,50000,19,3,0
2024-05-10,AT,control,0,0,131,0,0,89.0,0.0,89.0,EUR,0.9972,88.75,138,12282.0,4757,0.029,49.96,383.7,0.0572,50000,19,4,0
2024-05-11,AT,control,0,0,132,0,0,89.0,0.0,89.0,EUR,1.0051,89.46,160,14240.0,4870,0.0328,45.26,367.89,0.0601,50000,19,5,1
2024-05-12,AT,control,0,0,133,0,0,89.0,0.0,89.0,EUR,1.0049,89.44,145,12905.0,4395,0.033,41.5,382.39,0.0572,50000,19,6,1
2024-05-13,AT,control,0,0,134,0,0,89.0,0.0,89.0,EUR,0.9963,88.67,128,11392.0,4503,0.0284,43.24,381.05,0.07,50000,20,0,0
2024-05-14,AT,control,0,0,135,0,0,89.0,0.0,89.0,EUR,1.0025,89.22,130,11570.0,3443,0.0378,52.71,375.92,0.0634,50000,20,1,0
2024-05-15,AT,control,0,0,136,0,0,89.0,0.0,89.0,EUR,0.9922,88.31,137,12193.0,4158,0.0329,52.61,365.01,0.061,50000,20,2,0
2024-05-16,AT,control,0,0,137,0,0,89.0,0.0,89.0,EUR,1.0035,89.31,128,11392.0,4096,0.0312,43.69,372.46,0.0743,50000,20,3,0
2024-05-17,AT,control,0,0,138,0,0,89.0,0.0,89.0,EUR,1.0066,89.59,140,12460.0,3766,0.0372,51.32,374.37,0.0566,50000,20,4,0
2024-05-18,AT,control,0,0,139,0,0,89.0,0.0,89.0,EUR,0.9929,88.37,143,12727.0,4082,0.035,43.56,364.68,0.0776,50000,20,5,1
2024-05-19,AT,control,0,0,140,0,0,89.0,0.0,89.0,EUR,0.997,88.73,123,10947.0,3861,0.0318,43.61,374.04,0.0611,50000,20,6,1
2024-05-20,AT,control,0,0,141,0,0,89.0,0.0,89.0,EUR,1.0082,89.73,116,10324.0,3345,0.0347,45.35,366.6,0.0597,50000,21,0,0
2024-05-21,AT,control,0,0,142,0,0,89.0,0.0,89.0,EUR,1.0005,89.04,124,11036.0,4146,0.0299,45.77,368.11,0.0681,50000,21,1,0
2024-05-22,AT,control,0,0,143,0,0,89.0,0.0,89.0,EUR,0.995,88.56,126,11214.0,4241,0.0297,51.2,360.86,0.0625,50000,21,2,0
2024-05-23,AT,control,0,0,144,0,0,89.0,0.0,89.0,EUR,1.002,89.18,131,11659.0,4278,0.0306,54.74,372.25,0.0678,50000,21,3,0
2024-05-24,AT,control,0,0,145,0,0,89.0,0.0,89.0,EUR,0.9965,88.69,131,11659.0,4042,0.0324,52.91,376.75,0.0644,50000,21,4,0
2024-05-25,AT,control,0,0,146,0,0,89.0,0.0,89.0,EUR,1.0029,89.26,133,11837.0,3916,0.034,47.84,377.66,0.058,50000,21,5,1
2024-05-26,AT,control,0,0,147,0,0,89.0,0.0,89.0,EUR,1.0125,90.11,138,12282.0,4972,0.0278,42.61,369.72,0.0638,50000,21,6,1
2024-05-27,AT,control,0,0,148,0,0,89.0,0.0,89.0,EUR,1.0087,89.77,127,11303.0,3926,0.0323,49.49,350.26,0.0672,50000,22,0,0
2024-05-28,AT,control,0,0,149,0,0,89.0,0.0,89.0,EUR,1.0075,89.67,127,11303.0,3806,0.0334,45.01,369.32,0.0673,50000,22,1,0
2024-05-29,AT,control,0,0,150,0,0,89.0,0.0,89.0,EUR,0.9952,88.58,130,11570.0,4097,0.0317,43.09,365.96,0.0653,50000,22,2,0
2024-01-01,BE,control,0,0,1,0,0,89.0,0.0,89.0,EUR,0.9948,88.54,150,13350.0,5546,0.027,64.51,356.86,0.0734,46000,1,0,0
2024-01-02,BE,control,0,0,2,0,0,89.0,0.0,89.0,EUR,1.0064,89.57,156,13884.0,4988,0.0313,56.4,374.37,0.0635,46000,1,1,0
2024-01-03,BE,control,0,0,3,0,0,89.0,0.0,89.0,EUR,1.0012,89.1,148,13172.0,4890,0.0303,61.7,376.36,0.0652,46000,1,2,0
2024-01-04,BE,control,0,0,4,0,0,89.0,0.0,89.0,EUR,0.9984,88.86,151,13439.0,4254,0.0355,59.81,365.93,0.0719,46000,1,3,0
2024-01-05,BE,control,0,0,5,0,0,89.0,0.0,89.0,EUR,0.9974,88.77,173,15397.0,6375,0.0271,59.06,369.18,0.0527,46000,1,4,0
2024-01-06,BE,control,0,0,6,0,0,89.0,0.0,89.0,EUR,0.9909,88.19,165,14685.0,5243,0.0315,53.07,379.85,0.0572,46000,1,5,1
2024-01-07,BE,control,0,0,7,0,0,89.0,0.0,89.0,EUR,0.9843,87.6,167,14863.0,5960,0.028,52.24,372.67,0.067,46000,1,6,1
2024-01-08,BE,control,0,0,8,0,0,89.0,0.0,89.0,EUR,1.001,89.09,135,12015.0,3782,0.0357,59.01,363.81,0.0734,46000,2,0,0
2024-01-09,BE,control,0,0,9,0,0,89.0,0.0,89.0,EUR,1.0007,89.06,144,12816.0,4495,0.032,65.02,384.97,0.0592,46000,2,1,0
2024-01-10,BE,control,0,0,10,0,0,89.0,0.0,89.0,EUR,0.9916,88.25,146,12994.0,4774,0.0306,63.64,354.71,0.0572,46000,2,2,0
2024-01-11,BE,control,0,0,11,0,0,89.0,0.0,89.0,EUR,0.9995,88.96,162,14418.0,4827,0.0336,59.53,373.32,0.0665,46000,2,3,0
2024-01-12,BE,control,0,0,12,0,0,89.0,0.0,89.0,EUR,0.9998,88.98,154,13706.0,4188,0.0368,63.43,367.57,0.0658,46000,2,4,0
2024-01-13,BE,control,0,0,13,0,0,89.0,0.0,89.0,EUR,0.9878,87.91,157,13973.0,4678,0.0336,58.24,364.89,0.0698,46000,2,5,1
